[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=2.93222886046e-06, security=开放式, quality=44), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:3d, client=3, time=7.33057215116e-06, security=WPA2 - 个人, quality=94), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=9.5297437965e-06, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Lavclogged, bssid=c8:f7:33:5d:32:ca, client=3, time=1.09958582267e-05, security=WPA2 - 个人, quality=98), AccessPoint(ssid=MoNeYProHub, bssid=ec:88:8f:37:cf:50, client=3, time=1.2461972657e-05, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=1.46611443023e-05, security=WPA2 - 个人, quality=100), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=1.61272587325e-05, security=WPA2 - 个人, quality=50), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=1.75933731628e-05, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.9059487593e-05, security=WPA2 - 个人, quality=62), AccessPoint(ssid=cccccc, bssid=14:91:82:bb:6f:b6, client=3, time=2.05256020232e-05, security=WPA2 - 个人, quality=64), AccessPoint(ssid=HP-Print-D8-LaserJet 1102, bssid=3c:46:d8:5d:9a:91, client=3, time=2.19917164535e-05, security=开放式, quality=42), AccessPoint(ssid=xfinitywifi, bssid=00:71:cc:0e:23:d8, client=3, time=2.41908880988e-05, security=开放式, quality=4), AccessPoint(ssid=jake, bssid=dc:fe:07:81:d3:2a, client=3, time=2.5657002529e-05, security=开放式, quality=34), AccessPoint(ssid=Pointe 1511 101, bssid=00:08:9f:4e:d0:14, client=3, time=2.78561741744e-05, security=WPA2 - 个人, quality=30), AccessPoint(ssid=Pointe 1511 101, bssid=ec:1a:59:aa:2b:61, client=3, time=3.44536891104e-05, security=WPA2 - 个人, quality=34)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=0.575690356632, security=开放式, quality=44), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:3d, client=3, time=0.575694754976, security=WPA2 - 个人, quality=94), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=0.575697687204, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Lavclogged, bssid=c8:f7:33:5d:32:ca, client=3, time=0.575699153319, security=WPA2 - 个人, quality=98), AccessPoint(ssid=MoNeYProHub, bssid=ec:88:8f:37:cf:50, client=3, time=0.575700619433, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=0.575702818605, security=WPA2 - 个人, quality=100), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=0.575703551662, security=WPA2 - 个人, quality=50), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=0.575705750834, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=0.575707216948, security=WPA2 - 个人, quality=62), AccessPoint(ssid=cccccc, bssid=14:91:82:bb:6f:b6, client=3, time=0.575708683063, security=WPA2 - 个人, quality=64), AccessPoint(ssid=HP-Print-D8-LaserJet 1102, bssid=3c:46:d8:5d:9a:91, client=3, time=0.575710149177, security=开放式, quality=42), AccessPoint(ssid=xfinitywifi, bssid=00:71:cc:0e:23:d8, client=3, time=0.575712348349, security=开放式, quality=4), AccessPoint(ssid=jake, bssid=dc:fe:07:81:d3:2a, client=3, time=0.575713814463, security=开放式, quality=34), AccessPoint(ssid=Pointe 1511 101, bssid=00:08:9f:4e:d0:14, client=3, time=0.575715280578, security=WPA2 - 个人, quality=30), AccessPoint(ssid=Pointe 1511 101, bssid=ec:1a:59:aa:2b:61, client=3, time=0.575721145035, security=WPA2 - 个人, quality=34)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=1.11259612213, security=开放式, quality=44), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:3d, client=3, time=1.11260052047, security=WPA2 - 个人, quality=94), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=1.11260271964, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Lavclogged, bssid=c8:f7:33:5d:32:ca, client=3, time=1.11260418576, security=WPA2 - 个人, quality=98), AccessPoint(ssid=MoNeYProHub, bssid=ec:88:8f:37:cf:50, client=3, time=1.11260565187, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=1.11260785104, security=WPA2 - 个人, quality=100), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=1.11260931716, security=WPA2 - 个人, quality=50), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=1.11261078327, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.11261224939, security=WPA2 - 个人, quality=62), AccessPoint(ssid=cccccc, bssid=14:91:82:bb:6f:b6, client=3, time=1.11261444856, security=WPA2 - 个人, quality=64), AccessPoint(ssid=HP-Print-D8-LaserJet 1102, bssid=3c:46:d8:5d:9a:91, client=3, time=1.11261591467, security=开放式, quality=42), AccessPoint(ssid=xfinitywifi, bssid=00:71:cc:0e:23:d8, client=3, time=1.11261738079, security=开放式, quality=4), AccessPoint(ssid=jake, bssid=dc:fe:07:81:d3:2a, client=3, time=1.1126188469, security=开放式, quality=34), AccessPoint(ssid=Pointe 1511 101, bssid=00:08:9f:4e:d0:14, client=3, time=1.11262104607, security=WPA2 - 个人, quality=30), AccessPoint(ssid=Pointe 1511 101, bssid=ec:1a:59:aa:2b:61, client=3, time=1.11262691053, security=WPA2 - 个人, quality=34)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=1.66688267419, security=开放式, quality=44), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:3d, client=3, time=1.66688707254, security=WPA2 - 个人, quality=94), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=1.66688927171, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Lavclogged, bssid=c8:f7:33:5d:32:ca, client=3, time=1.66689147088, security=WPA2 - 个人, quality=98), AccessPoint(ssid=MoNeYProHub, bssid=ec:88:8f:37:cf:50, client=3, time=1.66689293699, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=1.66689513617, security=WPA2 - 个人, quality=100), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=1.66689660228, security=WPA2 - 个人, quality=50), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=1.66689806839, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.66689953451, security=WPA2 - 个人, quality=62), AccessPoint(ssid=cccccc, bssid=14:91:82:bb:6f:b6, client=3, time=1.66690100062, security=WPA2 - 个人, quality=64), AccessPoint(ssid=HP-Print-D8-LaserJet 1102, bssid=3c:46:d8:5d:9a:91, client=3, time=1.66690246674, security=开放式, quality=42), AccessPoint(ssid=xfinitywifi, bssid=00:71:cc:0e:23:d8, client=3, time=1.66690393285, security=开放式, quality=4), AccessPoint(ssid=jake, bssid=dc:fe:07:81:d3:2a, client=3, time=1.66690613202, security=开放式, quality=34), AccessPoint(ssid=Pointe 1511 101, bssid=00:08:9f:4e:d0:14, client=3, time=1.66690759814, security=WPA2 - 个人, quality=30), AccessPoint(ssid=Pointe 1511 101, bssid=ec:1a:59:aa:2b:61, client=3, time=1.6669134626, security=WPA2 - 个人, quality=34)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=2.1850287725, security=开放式, quality=44), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:3d, client=3, time=2.18503317084, security=WPA2 - 个人, quality=94), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.18503537001, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Lavclogged, bssid=c8:f7:33:5d:32:ca, client=3, time=2.18503756918, security=WPA2 - 个人, quality=98), AccessPoint(ssid=MoNeYProHub, bssid=ec:88:8f:37:cf:50, client=3, time=2.1850390353, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=2.18504050141, security=WPA2 - 个人, quality=100), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=2.18504196753, security=WPA2 - 个人, quality=50), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=2.1850441667, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=2.18504563281, security=WPA2 - 个人, quality=62), AccessPoint(ssid=cccccc, bssid=14:91:82:bb:6f:b6, client=3, time=2.18504709893, security=WPA2 - 个人, quality=64), AccessPoint(ssid=HP-Print-D8-LaserJet 1102, bssid=3c:46:d8:5d:9a:91, client=3, time=2.18504856504, security=开放式, quality=42), AccessPoint(ssid=xfinitywifi, bssid=00:71:cc:0e:23:d8, client=3, time=2.18505076421, security=开放式, quality=4), AccessPoint(ssid=jake, bssid=dc:fe:07:81:d3:2a, client=3, time=2.18505223033, security=开放式, quality=34), AccessPoint(ssid=Pointe 1511 101, bssid=00:08:9f:4e:d0:14, client=3, time=2.18505369644, security=WPA2 - 个人, quality=30), AccessPoint(ssid=Pointe 1511 101, bssid=ec:1a:59:aa:2b:61, client=3, time=2.18505882784, security=WPA2 - 个人, quality=34)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=2.72239416486, security=开放式, quality=44), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:3d, client=3, time=2.72239856321, security=WPA2 - 个人, quality=94), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.72240076238, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Lavclogged, bssid=c8:f7:33:5d:32:ca, client=3, time=2.72240222849, security=WPA2 - 个人, quality=98), AccessPoint(ssid=MoNeYProHub, bssid=ec:88:8f:37:cf:50, client=3, time=2.72240369461, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=2.72240589378, security=WPA2 - 个人, quality=100), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=2.72240735989, security=WPA2 - 个人, quality=50), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=2.72240882601, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=2.72241029212, security=WPA2 - 个人, quality=62), AccessPoint(ssid=cccccc, bssid=14:91:82:bb:6f:b6, client=3, time=2.72241175824, security=WPA2 - 个人, quality=64), AccessPoint(ssid=HP-Print-D8-LaserJet 1102, bssid=3c:46:d8:5d:9a:91, client=3, time=2.72241322435, security=开放式, quality=42), AccessPoint(ssid=xfinitywifi, bssid=00:71:cc:0e:23:d8, client=3, time=2.72241542352, security=开放式, quality=4), AccessPoint(ssid=jake, bssid=dc:fe:07:81:d3:2a, client=3, time=2.72241688964, security=开放式, quality=34), AccessPoint(ssid=Pointe 1511 101, bssid=00:08:9f:4e:d0:14, client=3, time=2.72241835575, security=WPA2 - 个人, quality=30), AccessPoint(ssid=Pointe 1511 101, bssid=ec:1a:59:aa:2b:61, client=3, time=2.72242348715, security=WPA2 - 个人, quality=34)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=3.25493604076, security=开放式, quality=44), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:3d, client=3, time=3.25493970604, security=WPA2 - 个人, quality=94), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=3.25494190522, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Lavclogged, bssid=c8:f7:33:5d:32:ca, client=3, time=3.25494410439, security=WPA2 - 个人, quality=98), AccessPoint(ssid=MoNeYProHub, bssid=ec:88:8f:37:cf:50, client=3, time=3.2549455705, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=3.25494703662, security=WPA2 - 个人, quality=100), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=3.25494850273, security=WPA2 - 个人, quality=50), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=3.2549507019, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=3.25495216802, security=WPA2 - 个人, quality=62), AccessPoint(ssid=cccccc, bssid=14:91:82:bb:6f:b6, client=3, time=3.25495363413, security=WPA2 - 个人, quality=64), AccessPoint(ssid=HP-Print-D8-LaserJet 1102, bssid=3c:46:d8:5d:9a:91, client=3, time=3.25495510025, security=开放式, quality=42), AccessPoint(ssid=xfinitywifi, bssid=00:71:cc:0e:23:d8, client=3, time=3.25495656636, security=开放式, quality=4), AccessPoint(ssid=jake, bssid=dc:fe:07:81:d3:2a, client=3, time=3.25495803247, security=开放式, quality=34), AccessPoint(ssid=Pointe 1511 101, bssid=00:08:9f:4e:d0:14, client=3, time=3.25496023165, security=WPA2 - 个人, quality=30), AccessPoint(ssid=Pointe 1511 101, bssid=ec:1a:59:aa:2b:61, client=3, time=3.2549660961, security=WPA2 - 个人, quality=34)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=3.79039988271, security=开放式, quality=44), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:3d, client=3, time=3.79040428105, security=WPA2 - 个人, quality=94), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=3.79040648023, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Lavclogged, bssid=c8:f7:33:5d:32:ca, client=3, time=3.7904086794, security=WPA2 - 个人, quality=98), AccessPoint(ssid=MoNeYProHub, bssid=ec:88:8f:37:cf:50, client=3, time=3.79041014551, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=3.79041161163, security=WPA2 - 个人, quality=100), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=3.79041307774, security=WPA2 - 个人, quality=50), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=3.79041454386, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=3.79041600997, security=WPA2 - 个人, quality=62), AccessPoint(ssid=cccccc, bssid=14:91:82:bb:6f:b6, client=3, time=3.79041820914, security=WPA2 - 个人, quality=64), AccessPoint(ssid=HP-Print-D8-LaserJet 1102, bssid=3c:46:d8:5d:9a:91, client=3, time=3.79041967526, security=开放式, quality=42), AccessPoint(ssid=xfinitywifi, bssid=00:71:cc:0e:23:d8, client=3, time=3.79042114137, security=开放式, quality=4), AccessPoint(ssid=jake, bssid=dc:fe:07:81:d3:2a, client=3, time=3.79042260748, security=开放式, quality=34), AccessPoint(ssid=Pointe 1511 101, bssid=00:08:9f:4e:d0:14, client=3, time=3.79042480666, security=WPA2 - 个人, quality=30), AccessPoint(ssid=Pointe 1511 101, bssid=ec:1a:59:aa:2b:61, client=3, time=3.79043067111, security=WPA2 - 个人, quality=34)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=4.30516878642, security=开放式, quality=44), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:3d, client=3, time=4.30517391782, security=WPA2 - 个人, quality=94), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=4.305176117, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Lavclogged, bssid=c8:f7:33:5d:32:ca, client=3, time=4.30517758311, security=WPA2 - 个人, quality=98), AccessPoint(ssid=MoNeYProHub, bssid=ec:88:8f:37:cf:50, client=3, time=4.30517904922, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=4.3051812484, security=WPA2 - 个人, quality=100), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=4.30518271451, security=WPA2 - 个人, quality=50), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=4.30518418063, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=4.30518564674, security=WPA2 - 个人, quality=62), AccessPoint(ssid=cccccc, bssid=14:91:82:bb:6f:b6, client=3, time=4.30518711285, security=WPA2 - 个人, quality=64), AccessPoint(ssid=HP-Print-D8-LaserJet 1102, bssid=3c:46:d8:5d:9a:91, client=3, time=4.30518857897, security=开放式, quality=42), AccessPoint(ssid=xfinitywifi, bssid=00:71:cc:0e:23:d8, client=3, time=4.30519077814, security=开放式, quality=4), AccessPoint(ssid=jake, bssid=dc:fe:07:81:d3:2a, client=3, time=4.30519224425, security=开放式, quality=34), AccessPoint(ssid=Pointe 1511 101, bssid=00:08:9f:4e:d0:14, client=3, time=4.30519371037, security=WPA2 - 个人, quality=30), AccessPoint(ssid=Pointe 1511 101, bssid=ec:1a:59:aa:2b:61, client=3, time=4.30519957483, security=WPA2 - 个人, quality=34)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=4.84764871898, security=开放式, quality=44), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:3d, client=3, time=4.84765311733, security=WPA2 - 个人, quality=94), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=4.8476553165, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Lavclogged, bssid=c8:f7:33:5d:32:ca, client=3, time=4.84765751567, security=WPA2 - 个人, quality=98), AccessPoint(ssid=MoNeYProHub, bssid=ec:88:8f:37:cf:50, client=3, time=4.84765898178, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=4.8476604479, security=WPA2 - 个人, quality=100), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=4.84766191401, security=WPA2 - 个人, quality=50), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=4.84766411318, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=4.8476655793, security=WPA2 - 个人, quality=62), AccessPoint(ssid=cccccc, bssid=14:91:82:bb:6f:b6, client=3, time=4.84766704541, security=WPA2 - 个人, quality=64), AccessPoint(ssid=HP-Print-D8-LaserJet 1102, bssid=3c:46:d8:5d:9a:91, client=3, time=4.84766851153, security=开放式, quality=42), AccessPoint(ssid=xfinitywifi, bssid=00:71:cc:0e:23:d8, client=3, time=4.8476707107, security=开放式, quality=4), AccessPoint(ssid=jake, bssid=dc:fe:07:81:d3:2a, client=3, time=4.84767217681, security=开放式, quality=34), AccessPoint(ssid=Pointe 1511 101, bssid=00:08:9f:4e:d0:14, client=3, time=4.84767364293, security=WPA2 - 个人, quality=30), AccessPoint(ssid=Pointe 1511 101, bssid=ec:1a:59:aa:2b:61, client=3, time=4.84767950739, security=WPA2 - 个人, quality=34)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=5.38514532859, security=开放式, quality=44), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:3d, client=3, time=5.38515045999, security=WPA2 - 个人, quality=94), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=5.38515265917, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Lavclogged, bssid=c8:f7:33:5d:32:ca, client=3, time=5.38515412528, security=WPA2 - 个人, quality=98), AccessPoint(ssid=MoNeYProHub, bssid=ec:88:8f:37:cf:50, client=3, time=5.38515559139, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=5.38515705751, security=WPA2 - 个人, quality=100), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=5.38515852362, security=WPA2 - 个人, quality=50), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=5.38516072279, security=WPA2 - 个人, quality=46), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=5.38516218891, security=WPA2 - 个人, quality=62), AccessPoint(ssid=cccccc, bssid=14:91:82:bb:6f:b6, client=3, time=5.38516365502, security=WPA2 - 个人, quality=64), AccessPoint(ssid=HP-Print-D8-LaserJet 1102, bssid=3c:46:d8:5d:9a:91, client=3, time=5.38516512114, security=开放式, quality=42), AccessPoint(ssid=xfinitywifi, bssid=00:71:cc:0e:23:d8, client=3, time=5.38516658725, security=开放式, quality=4), AccessPoint(ssid=jake, bssid=dc:fe:07:81:d3:2a, client=3, time=5.38516878642, security=开放式, quality=34), AccessPoint(ssid=Pointe 1511 101, bssid=00:08:9f:4e:d0:14, client=3, time=5.38517025254, security=WPA2 - 个人, quality=30), AccessPoint(ssid=Pointe 1511 101, bssid=ec:1a:59:aa:2b:61, client=3, time=5.385176117, security=WPA2 - 个人, quality=34)]
