[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.93222886046e-06, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=8.06362936627e-06, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=1.02628010116e-05, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=1.17289154419e-05, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=1.39280870872e-05, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=1.53942015174e-05, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=1.68603159477e-05, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.9059487593e-05, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=2.05256020232e-05, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=2.19917164535e-05, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=2.34578308837e-05, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=0.554723454166, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=0.554729318623, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=0.554732250852, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=0.554734450024, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=0.554736649195, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=0.55473811531, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=0.554740314482, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=0.554741780596, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=0.55474324671, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=0.554744712825, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=0.554746911996, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=1.09906315288, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=1.09906755122, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=1.09906975039, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=1.09907194957, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=1.09907341568, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=1.09907561485, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=1.09907708097, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.09907854708, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=1.0990800132, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=1.09908147931, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=1.09908294542, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=1.63036982737, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=1.63037569182, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=1.63037862405, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=1.63038155628, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=1.63038448851, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=1.63038742074, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=1.63039035297, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.63039255214, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=1.63039548437, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=1.63039768354, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=1.63040061577, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.15246417183, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=2.15246857017, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=2.15247003629, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=2.1524715024, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=2.15247370157, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=2.15247516769, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=2.15247736686, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=2.15247883297, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=2.15248029909, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=2.15248249826, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=2.15248396437, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.67524319173, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=2.67524905619, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=2.67525125536, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=2.67525492065, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=2.67525711982, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=2.67526005205, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=2.67526225122, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=2.67526518345, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=2.67526811568, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=2.67527031485, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=2.67527324708, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=3.20951068431, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=3.20951508265, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=3.20951728182, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=3.20951874794, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=3.20952094711, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=3.20952241322, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=3.20952387934, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=3.20952534545, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=3.20952681157, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=3.20952901074, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=3.20953047685, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=3.74293882638, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=3.74294322472, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=3.74294542389, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=3.74294762306, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=3.74294908918, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=3.74295055529, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=3.74295202141, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=3.74295348752, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=3.74295495363, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=3.74295715281, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=3.74295861892, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=4.27254260895, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=4.27254627424, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=4.27254847341, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=4.27255067258, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=4.27255213869, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=4.27255360481, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=4.27255580398, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=4.27255727009, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=4.27255873621, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=4.27256020232, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=4.27256166844, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=4.8131569109, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=4.8131620423, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=4.81316350841, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=4.81316570758, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=4.8131671737, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=4.81316937287, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=4.81317083898, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=4.8131723051, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=4.81317377121, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=4.81317523733, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=4.81317670344, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=5.34090019426, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=5.34090532566, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=5.34090679178, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=5.34090825789, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=5.34091045706, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=5.34091192318, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=5.34091338929, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=5.3409148554, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=5.34091632152, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=5.34091852069, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=5.3409199868, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=5.86546127625, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=5.8654656746, security=开放式, quality=28), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=5.86546787377, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=5.86546933988, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=5.865470806, security=WPA2 - 个人, quality=86), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=5.86547300517, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=5.86547447128, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=5.8654759374, security=WPA2 - 个人, quality=48), AccessPoint(ssid=Wonderland, bssid=dc:fe:07:81:d3:28, client=3, time=5.86547740351, security=WPA2 - 个人, quality=30), AccessPoint(ssid=xfinitywifi, bssid=14:91:82:bb:6f:b6, client=3, time=5.86547960268, security=开放式, quality=64), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=5.8654810688, security=开放式, quality=26)]
