[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.19917164535e-06, security=WPA2 - 个人, quality=40), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=6.59751493604e-06, security=开放式, quality=28), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:3d, client=3, time=9.5297437965e-06, security=WPA2 - 个人, quality=76), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=1.09958582267e-05, security=WPA2 - 个人, quality=80), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=1.2461972657e-05, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.46611443023e-05, security=WPA2 - 个人, quality=48), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:28, client=3, time=1.61272587325e-05, security=开放式, quality=14), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=1.75933731628e-05, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=0.558730344903, security=WPA2 - 个人, quality=40), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=0.558734743247, security=开放式, quality=28), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:3d, client=3, time=0.558736942418, security=WPA2 - 个人, quality=76), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=0.558738408533, security=WPA2 - 个人, quality=80), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=0.558740607704, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=0.558742073819, security=WPA2 - 个人, quality=48), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:28, client=3, time=0.558743539933, security=开放式, quality=14), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=0.558745739105, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=1.0801678701, security=WPA2 - 个人, quality=40), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=1.08017226845, security=开放式, quality=28), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:3d, client=3, time=1.08017446762, security=WPA2 - 个人, quality=76), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=1.08017593373, security=WPA2 - 个人, quality=80), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=1.0801781329, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.08017959902, security=WPA2 - 个人, quality=48), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:28, client=3, time=1.08018179819, security=开放式, quality=14), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=1.0801832643, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=1.60053659788, security=WPA2 - 个人, quality=40), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=1.60054099622, security=开放式, quality=28), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:3d, client=3, time=1.6005431954, security=WPA2 - 个人, quality=76), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=1.60054466151, security=WPA2 - 个人, quality=80), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=1.60054612763, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.6005483268, security=WPA2 - 个人, quality=48), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:28, client=3, time=1.60055052597, security=开放式, quality=14), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=1.60055199208, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.11374775501, security=WPA2 - 个人, quality=40), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=2.11375215336, security=开放式, quality=28), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:3d, client=3, time=2.11375435253, security=WPA2 - 个人, quality=76), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=2.1137565517, security=WPA2 - 个人, quality=80), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=2.11375801781, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=2.11375948393, security=WPA2 - 个人, quality=48), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:28, client=3, time=2.1137616831, security=开放式, quality=14), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=2.11376314921, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.6346406187, security=WPA2 - 个人, quality=40), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=2.63464501704, security=开放式, quality=28), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:3d, client=3, time=2.63464721622, security=WPA2 - 个人, quality=76), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=2.63464868233, security=WPA2 - 个人, quality=80), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=2.6346508815, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=2.63465234762, security=WPA2 - 个人, quality=48), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:28, client=3, time=2.63465381373, security=开放式, quality=14), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=2.6346560129, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=3.15936004105, security=WPA2 - 个人, quality=40), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=3.15936443939, security=开放式, quality=28), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:3d, client=3, time=3.15936663857, security=WPA2 - 个人, quality=76), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=3.15936883774, security=WPA2 - 个人, quality=80), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=3.15937030385, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=3.15937176997, security=WPA2 - 个人, quality=48), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:28, client=3, time=3.15937323608, security=开放式, quality=14), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=3.15937543525, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=3.677130081, security=WPA2 - 个人, quality=40), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=3.6771352124, security=开放式, quality=28), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:3d, client=3, time=3.67713741157, security=WPA2 - 个人, quality=76), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=3.67713887769, security=WPA2 - 个人, quality=80), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=3.67714107686, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=3.67714254298, security=WPA2 - 个人, quality=48), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:28, client=3, time=3.67714400909, security=开放式, quality=14), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=3.6771454752, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=4.20950995125, security=WPA2 - 个人, quality=40), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=4.20951508265, security=开放式, quality=28), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:3d, client=3, time=4.20951728182, security=WPA2 - 个人, quality=76), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=4.20951874794, security=WPA2 - 个人, quality=80), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=4.20952021405, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=4.20952168017, security=WPA2 - 个人, quality=48), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:28, client=3, time=4.20952387934, security=开放式, quality=14), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=4.20952534545, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=4.74856797273, security=WPA2 - 个人, quality=40), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=4.74857237107, security=开放式, quality=28), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:3d, client=3, time=4.74857457025, security=WPA2 - 个人, quality=76), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=4.74857676942, security=WPA2 - 个人, quality=80), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=4.74857823553, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=4.7485804347, security=WPA2 - 个人, quality=48), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:28, client=3, time=4.74858190082, security=开放式, quality=14), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=4.74858336693, security=开放式, quality=26)]
[AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=5.26672873218, security=WPA2 - 个人, quality=40), AccessPoint(ssid=PavlovMedia, bssid=c8:f7:33:5d:32:ca, client=3, time=5.26673386358, security=开放式, quality=28), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:3d, client=3, time=5.26673532969, security=WPA2 - 个人, quality=76), AccessPoint(ssid=Airport Extreme, bssid=2c:30:33:40:bf:7d, client=3, time=5.26673752886, security=WPA2 - 个人, quality=80), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=5.26673899498, security=WPA2 - 个人, quality=40), AccessPoint(ssid=Flamingo_Slots, bssid=e4:f4:c6:12:c5:c2, client=3, time=5.26674119415, security=WPA2 - 个人, quality=48), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:28, client=3, time=5.26674266026, security=开放式, quality=14), AccessPoint(ssid=xfinitywifi, bssid=dc:fe:07:81:d3:2a, client=3, time=5.26674412638, security=开放式, quality=26)]
