[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=2.19917164535e-06, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=6.59751493604e-06, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=8.79668658139e-06, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=1.09958582267e-05, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=1.2461972657e-05, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=1.46611443023e-05, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=1.61272587325e-05, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=1.75933731628e-05, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.9059487593e-05, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=0.573059414287, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=0.573063812631, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=0.573066011802, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=0.573067477917, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=0.573069677088, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=0.573070410146, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=0.573072609317, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=0.573074075432, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=0.573075541546, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=1.06892863688, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=1.06893303522, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=1.0689352344, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=1.06893670051, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=1.06893889968, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=1.0689403658, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=1.06894183191, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=1.06894403108, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.0689454972, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=1.60233771946, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=1.6023421178, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=1.60234431697, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=1.60234651615, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=1.60234798226, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=1.60234944837, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=1.60235091449, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=1.6023523806, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.60235457977, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=2.1171095554, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=2.11711395374, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=2.11711615292, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.11711761903, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=2.11711908514, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=2.11712128432, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=2.11712275043, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=2.1171249496, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=2.11712641572, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=2.65336143386, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=2.6533658322, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=2.65336803137, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.65336949749, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=2.6533709636, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=2.65337316278, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=2.65337462889, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=2.653376095, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=2.65337829418, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=3.18026536671, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=3.18026976506, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=3.18027196423, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=3.18027343034, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=3.18027489646, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=3.18027709563, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=3.18027856174, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=3.18028002786, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=3.18028222703, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=3.7157526665, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=3.71575706484, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=3.71575926401, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=3.71576073012, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=3.71576219624, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=3.71576439541, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=3.71576586153, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=3.71576732764, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=3.71576879375, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=4.23438551479, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=4.23438991313, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=4.2343921123, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=4.23439357842, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=4.23439504453, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=4.23439651065, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=4.23439870982, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=4.23440017593, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=4.23440164205, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=4.7436015101, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=4.74360590844, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=4.74360810761, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=4.74360957373, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=4.74361103984, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=4.74361323901, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=4.74361470513, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=4.74361617124, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=4.74361763736, security=WPA2 - 个人, quality=52)]
[AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:82, client=3, time=5.2421280651, security=开放式, quality=26), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=5.2421331965, security=开放式, quality=96), AccessPoint(ssid=cc2, bssid=dc:9f:db:b2:a7:41, client=3, time=5.24213539567, security=WPA2 - 个人, quality=38), AccessPoint(ssid=cc1, bssid=b4:b6:76:e0:7d:c9, client=3, time=5.24213686178, security=WPA2 - 个人, quality=54), AccessPoint(ssid=MoNeYProHub, bssid=c8:f7:33:5d:32:ca, client=3, time=5.24213906095, security=WPA2 - 个人, quality=30), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=5.24214052707, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=5.24214199318, security=WPA2 - 个人, quality=32), AccessPoint(ssid=NETGEAR79, bssid=90:72:40:22:af:48, client=3, time=5.2421434593, security=WPA2 - 个人, quality=26), AccessPoint(ssid=NETGEAR79, bssid=e4:f4:c6:12:c5:c2, client=3, time=5.24214565847, security=WPA2 - 个人, quality=52)]
