[AccessPoint(ssid=Lavclogged, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.93222886046e-06, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=ec:88:8f:37:cf:50, client=3, time=7.33057215116e-06, security=开放式, quality=48), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=9.5297437965e-06, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=1.2461972657e-05, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=1.39280870872e-05, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=1.61272587325e-05, security=WPA2 - 个人, quality=26), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=1.75933731628e-05, security=WPA2 - 个人, quality=62), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=1.97925448081e-05, security=WPA2 - 个人, quality=32), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=2.12586592384e-05, security=WPA2 - 个人, quality=36), AccessPoint(ssid=Gino, bssid=14:91:82:bb:6f:b6, client=3, time=2.27247736686e-05, security=WPA2 - 个人, quality=64), AccessPoint(ssid=cccccc, bssid=00:e0:20:5e:a1:33, client=3, time=2.41908880988e-05, security=WPA2 - 个人, quality=50), AccessPoint(ssid=cccccc, bssid=3c:46:d8:5d:9a:91, client=3, time=2.63900597442e-05, security=WPA2 - 个人, quality=46)]
[AccessPoint(ssid=Lavclogged, bssid=b4:b6:76:e0:7d:c9, client=3, time=0.569155884617, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=ec:88:8f:37:cf:50, client=3, time=0.56916028296, security=开放式, quality=48), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=0.569161749075, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=0.569163948246, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=0.569166147418, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=0.569167613532, security=WPA2 - 个人, quality=26), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=0.569169079647, security=WPA2 - 个人, quality=62), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=0.569170545761, security=WPA2 - 个人, quality=32), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=0.569172744933, security=WPA2 - 个人, quality=36), AccessPoint(ssid=Gino, bssid=14:91:82:bb:6f:b6, client=3, time=0.56917347799, security=WPA2 - 个人, quality=64), AccessPoint(ssid=cccccc, bssid=00:e0:20:5e:a1:33, client=3, time=0.569175677162, security=WPA2 - 个人, quality=50), AccessPoint(ssid=cccccc, bssid=3c:46:d8:5d:9a:91, client=3, time=0.569177143276, security=WPA2 - 个人, quality=46)]
[AccessPoint(ssid=Lavclogged, bssid=b4:b6:76:e0:7d:c9, client=3, time=1.08462485797, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=ec:88:8f:37:cf:50, client=3, time=1.08462925631, security=开放式, quality=48), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=1.08463145549, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=1.0846329216, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=1.08463438771, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=1.08463658689, security=WPA2 - 个人, quality=26), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=1.084638053, security=WPA2 - 个人, quality=62), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=1.08463951911, security=WPA2 - 个人, quality=32), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.08464098523, security=WPA2 - 个人, quality=36), AccessPoint(ssid=Gino, bssid=14:91:82:bb:6f:b6, client=3, time=1.0846431844, security=WPA2 - 个人, quality=64), AccessPoint(ssid=cccccc, bssid=00:e0:20:5e:a1:33, client=3, time=1.08464465051, security=WPA2 - 个人, quality=50), AccessPoint(ssid=cccccc, bssid=3c:46:d8:5d:9a:91, client=3, time=1.08464611663, security=WPA2 - 个人, quality=46)]
[AccessPoint(ssid=Lavclogged, bssid=b4:b6:76:e0:7d:c9, client=3, time=1.62358391672, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=ec:88:8f:37:cf:50, client=3, time=1.62358831507, security=开放式, quality=48), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=1.62359051424, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=1.62359198035, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=1.62359344647, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=1.62359564564, security=WPA2 - 个人, quality=26), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=1.62359711175, security=WPA2 - 个人, quality=62), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=1.62359857787, security=WPA2 - 个人, quality=32), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=1.62360077704, security=WPA2 - 个人, quality=36), AccessPoint(ssid=Gino, bssid=14:91:82:bb:6f:b6, client=3, time=1.62360224316, security=WPA2 - 个人, quality=64), AccessPoint(ssid=cccccc, bssid=00:e0:20:5e:a1:33, client=3, time=1.62360370927, security=WPA2 - 个人, quality=50), AccessPoint(ssid=cccccc, bssid=3c:46:d8:5d:9a:91, client=3, time=1.62360517538, security=WPA2 - 个人, quality=46)]
[AccessPoint(ssid=Lavclogged, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.15539126929, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=ec:88:8f:37:cf:50, client=3, time=2.15539566763, security=开放式, quality=48), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=2.1553978668, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=2.15540006598, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=2.15540153209, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=2.1554029982, security=WPA2 - 个人, quality=26), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=2.15540519738, security=WPA2 - 个人, quality=62), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=2.15540739655, security=WPA2 - 个人, quality=32), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=2.15540886266, security=WPA2 - 个人, quality=36), AccessPoint(ssid=Gino, bssid=14:91:82:bb:6f:b6, client=3, time=2.15541032878, security=WPA2 - 个人, quality=64), AccessPoint(ssid=cccccc, bssid=00:e0:20:5e:a1:33, client=3, time=2.15541179489, security=WPA2 - 个人, quality=50), AccessPoint(ssid=cccccc, bssid=3c:46:d8:5d:9a:91, client=3, time=2.15541399406, security=WPA2 - 个人, quality=46)]
[AccessPoint(ssid=Lavclogged, bssid=b4:b6:76:e0:7d:c9, client=3, time=2.66302972547, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=ec:88:8f:37:cf:50, client=3, time=2.66303412381, security=开放式, quality=48), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=2.66303632299, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=2.6630377891, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=2.66303925521, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=2.66304145439, security=WPA2 - 个人, quality=26), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=2.66304218744, security=WPA2 - 个人, quality=62), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=2.66304438661, security=WPA2 - 个人, quality=32), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=2.66304585273, security=WPA2 - 个人, quality=36), AccessPoint(ssid=Gino, bssid=14:91:82:bb:6f:b6, client=3, time=2.66304731884, security=WPA2 - 个人, quality=64), AccessPoint(ssid=cccccc, bssid=00:e0:20:5e:a1:33, client=3, time=2.66304951801, security=WPA2 - 个人, quality=50), AccessPoint(ssid=cccccc, bssid=3c:46:d8:5d:9a:91, client=3, time=2.66305025107, security=WPA2 - 个人, quality=46)]
[AccessPoint(ssid=Lavclogged, bssid=b4:b6:76:e0:7d:c9, client=3, time=3.17471612359, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=ec:88:8f:37:cf:50, client=3, time=3.17472198805, security=开放式, quality=48), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=3.17472492028, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=3.17472785251, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=3.17473078474, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=3.17473371697, security=WPA2 - 个人, quality=26), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=3.17473591614, security=WPA2 - 个人, quality=62), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=3.17473884837, security=WPA2 - 个人, quality=32), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=3.1747417806, security=WPA2 - 个人, quality=36), AccessPoint(ssid=Gino, bssid=14:91:82:bb:6f:b6, client=3, time=3.17474471282, security=WPA2 - 个人, quality=64), AccessPoint(ssid=cccccc, bssid=00:e0:20:5e:a1:33, client=3, time=3.174746912, security=WPA2 - 个人, quality=50), AccessPoint(ssid=cccccc, bssid=3c:46:d8:5d:9a:91, client=3, time=3.17474984423, security=WPA2 - 个人, quality=46)]
[AccessPoint(ssid=Lavclogged, bssid=b4:b6:76:e0:7d:c9, client=3, time=3.71578418796, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=ec:88:8f:37:cf:50, client=3, time=3.7157885863, security=开放式, quality=48), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=3.71579078547, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=3.71579225159, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=3.71579445076, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=3.71579591687, security=WPA2 - 个人, quality=26), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=3.71579738299, security=WPA2 - 个人, quality=62), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=3.7157988491, security=WPA2 - 个人, quality=32), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=3.71580031521, security=WPA2 - 个人, quality=36), AccessPoint(ssid=Gino, bssid=14:91:82:bb:6f:b6, client=3, time=3.71580178133, security=WPA2 - 个人, quality=64), AccessPoint(ssid=cccccc, bssid=00:e0:20:5e:a1:33, client=3, time=3.7158039805, security=WPA2 - 个人, quality=50), AccessPoint(ssid=cccccc, bssid=3c:46:d8:5d:9a:91, client=3, time=3.71580544662, security=WPA2 - 个人, quality=46)]
[AccessPoint(ssid=Lavclogged, bssid=b4:b6:76:e0:7d:c9, client=3, time=4.24796100136, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=ec:88:8f:37:cf:50, client=3, time=4.2479653997, security=开放式, quality=48), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=4.24796759887, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=4.24796979804, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=4.24797126416, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=4.24797346333, security=WPA2 - 个人, quality=26), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=4.24797492944, security=WPA2 - 个人, quality=62), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=4.24797712861, security=WPA2 - 个人, quality=32), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=4.24797859473, security=WPA2 - 个人, quality=36), AccessPoint(ssid=Gino, bssid=14:91:82:bb:6f:b6, client=3, time=4.24797932779, security=WPA2 - 个人, quality=64), AccessPoint(ssid=cccccc, bssid=00:e0:20:5e:a1:33, client=3, time=4.24798152696, security=WPA2 - 个人, quality=50), AccessPoint(ssid=cccccc, bssid=3c:46:d8:5d:9a:91, client=3, time=4.24798299307, security=WPA2 - 个人, quality=46)]
[AccessPoint(ssid=Lavclogged, bssid=b4:b6:76:e0:7d:c9, client=3, time=4.78132536744, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=ec:88:8f:37:cf:50, client=3, time=4.78133416413, security=开放式, quality=48), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=4.7813363633, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=4.78133782942, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=4.78135982113, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=4.78136202031, security=WPA2 - 个人, quality=26), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=4.78136421948, security=WPA2 - 个人, quality=62), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=4.78136568559, security=WPA2 - 个人, quality=32), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=4.78136788476, security=WPA2 - 个人, quality=36), AccessPoint(ssid=Gino, bssid=14:91:82:bb:6f:b6, client=3, time=4.78136935088, security=WPA2 - 个人, quality=64), AccessPoint(ssid=cccccc, bssid=00:e0:20:5e:a1:33, client=3, time=4.78137081699, security=WPA2 - 个人, quality=50), AccessPoint(ssid=cccccc, bssid=3c:46:d8:5d:9a:91, client=3, time=4.78137228311, security=WPA2 - 个人, quality=46)]
[AccessPoint(ssid=Lavclogged, bssid=b4:b6:76:e0:7d:c9, client=3, time=5.31802954221, security=WPA2 - 个人, quality=74), AccessPoint(ssid=PavlovMedia, bssid=ec:88:8f:37:cf:50, client=3, time=5.31803467361, security=开放式, quality=48), AccessPoint(ssid=PavlovMedia, bssid=dc:9f:db:b2:a7:3d, client=3, time=5.31803613972, security=开放式, quality=100), AccessPoint(ssid=MoNeYProHub, bssid=dc:9f:db:b2:a7:58, client=3, time=5.31803833889, security=WPA2 - 个人, quality=38), AccessPoint(ssid=28202320E296BD20232029, bssid=2c:30:33:40:bf:7d, client=3, time=5.31803980501, security=WPA2 - 个人, quality=100), AccessPoint(ssid=Airport Extreme, bssid=b8:76:3f:4e:f8:13, client=3, time=5.31804200418, security=WPA2 - 个人, quality=26), AccessPoint(ssid=FourierTransform, bssid=90:72:40:22:af:48, client=3, time=5.31804347029, security=WPA2 - 个人, quality=62), AccessPoint(ssid=NETGEAR79, bssid=10:da:43:0e:10:10, client=3, time=5.31804493641, security=WPA2 - 个人, quality=32), AccessPoint(ssid=Wonderland, bssid=e4:f4:c6:12:c5:c2, client=3, time=5.31804640252, security=WPA2 - 个人, quality=36), AccessPoint(ssid=Gino, bssid=14:91:82:bb:6f:b6, client=3, time=5.31804860169, security=WPA2 - 个人, quality=64), AccessPoint(ssid=cccccc, bssid=00:e0:20:5e:a1:33, client=3, time=5.31805006781, security=WPA2 - 个人, quality=50), AccessPoint(ssid=cccccc, bssid=3c:46:d8:5d:9a:91, client=3, time=5.31805153392, security=WPA2 - 个人, quality=46)]
